Name,Gender,RollNumber,Email,Phone,Branch,CGPA,Company Placed In,CTC (LPA),Passing Year
John Gillespie,Female,Jh19mw03,jcarter@mejia.com,001-481-529-2812,ECE,9.6,Google,40.5,2023
Joseph Lewis,Other,tm22Xs11,stevensheather@bell.biz,(725)255-2747x66054,ME,6.62,Google,30.09,2023
Mr. Rodney Fuller,Male,OD25kJ80,erinmartin@yahoo.com,981.206.6821x50894,EEE,6.29,Microsoft,11.34,2023
Sonya Mullins,Female,uh42Ix34,amoore@yahoo.com,151-444-1905x499,CHE,6.67,Adobe,30.08,2024
Amanda Blake,Other,Nf86SU92,cookkenneth@yahoo.com,169-839-7131x44392,ECE,8.08,Wipro,36.08,2025
Ryan Yates,Female,lE18sj99,hutchinsonemily@romero.org,401-722-6595x191,CHE,5.46,Amazon,10.81,2023
Douglas Galloway,Other,ha80Gu11,robert64@turner.com,(247)752-1355x558,CE,9.68,Infosys,25.5,2023
Kayla Bailey,Female,qv56Sq68,morgangabrielle@gmail.com,(901)290-9796,ME,8.41,Google,9.95,2024
Jeffrey Baxter,Other,Ud86iX93,oconnorkimberly@cannon-morris.com,001-360-649-9099,IT,8.59,Infosys,13.22,2024
Karen Rodriguez,Female,Mw89mZ81,nathanielhanson@perry.com,300.617.2576,CSE,7.74,Cisco,25.99,2023
Sherri Mitchell,Other,UC07tE83,branchcheyenne@carson.biz,+1-210-445-0680x9544,AE,5.25,Flipkart,26.67,2025
Wendy Acosta,Male,VZ51lQ57,dramirez@hernandez.com,254-833-2292,EEE,5.11,Google,29.45,2025
Connie Barber,Female,lg51Fs85,keith66@liu-carter.info,843-637-0854x511,BT,7.82,Google,22.87,2023
Kim Green,Other,OK18SC27,thomasryan@williams.com,(553)601-9876x1070,CHE,8.69,Zomato,32.93,2025
Brianna Nguyen,Female,pv47Bt65,andrew75@sandoval.com,(139)399-0476x27933,ME,5.44,Amazon,14.7,2024
Stephanie Coleman,Female,iV59EA80,amandaperez@hotmail.com,+1-126-247-1915x28291,CE,5.37,Microsoft,36.69,2024
Sheena Winters,Female,Qr27Mk04,tapiajack@porter.info,001-408-893-8381x44073,ECE,5.68,TCS,23.11,2023
Joshua Pennington,Male,Mp25fW75,alyssa47@gmail.com,615.331.4905x9906,ME,7.3,Amazon,36.84,2025
Bradley Guerra,Female,Pn85ea62,johnmartin@calhoun.com,795-342-7736x05235,EEE,8.27,Wipro,13.3,2024
Gail Montes,Male,EH07Wb42,hestersophia@hotmail.com,001-831-688-6214x2146,CE,5.53,Microsoft,9.1,2025
Ronald Figueroa,Other,BS92El61,qortiz@hotmail.com,530.626.4599x019,BT,7.32,Reliance,28.6,2024
Cheryl Maldonado,Other,oF79VF75,farmerwillie@palmer.net,984-694-1586x9679,BT,6.84,Cisco,20.29,2024
Katherine Morris,Other,vd08zn41,frankanderson@cox-day.com,001-419-707-7041x8614,ECE,5.13,Paytm,18.57,2023
Rebecca Serrano,Other,UV64Fb60,marcus69@hotmail.com,+1-225-328-1639x17106,CHE,8.45,TCS,43.04,2025
Roger Myers,Female,yr39sm16,grayantonio@cooper-valdez.com,+1-892-560-4309,CSE,5.14,Wipro,13.73,2025
Cassandra Robinson,Other,NI05gJ59,andrewerickson@bailey-lynch.biz,001-214-351-2619x07161,CSE,8.23,Paytm,14.16,2025
Andrea Gray,Female,Cw13If23,hallbenjamin@brown-hernandez.biz,(520)556-7178x01301,CSE,9.9,Wipro,5.3,2024
Jordan Collins,Male,DV26gB24,wallerdarren@clay.com,287-071-9152x3027,ECE,8.28,TCS,26.44,2024
Timothy Oconnor,Other,Ij92Oz79,adam28@gmail.com,+1-478-883-1412,ME,5.9,Wipro,43.9,2024
David Howell,Other,RZ61aq96,smithmark@williams.com,(516)007-4368x6393,AE,7.66,Amazon,35.11,2024
Elizabeth Christian,Female,xR49YG03,vwebster@rivera-eaton.com,757.686.9553x10621,CE,6.29,Zomato,13.82,2025
Emily Campbell,Male,zl29Mn35,grahamlaura@hotmail.com,001-952-240-4174x30385,AE,6.43,Wipro,22.18,2025
Anne Navarro,Other,Vl88mx32,jacob68@benson.com,841-547-0503x04750,CHE,7.25,Amazon,3.34,2025
Betty Bryant,Other,sU98WY04,codymartinez@murphy.biz,(977)235-0779x32994,AE,9.53,Wipro,14.81,2023
Pam Wyatt,Other,TJ70fq38,jacksonmueller@davis.org,719.977.5038x52215,CE,7.96,Adobe,12.24,2023
Eric Ferrell,Male,dT50XU84,nturner@gmail.com,056.600.1800x17484,ECE,7.24,Infosys,24.0,2025
Amanda Morris,Other,Zm76NX51,bmueller@gilmore-harris.com,(315)345-4832,EEE,8.39,Wipro,14.42,2025
Patrick Johnson MD,Male,IG58Yv92,qchung@gmail.com,728-956-2092,ECE,5.68,Reliance,35.97,2025
Elizabeth Love,Female,gN17HH48,smithryan@bentley.biz,+1-445-159-3409,CHE,8.38,Adobe,12.02,2024
Ryan Miller,Other,NF81QN80,yolandacampbell@simon-brown.net,+1-789-608-7371,AE,8.1,Adobe,20.66,2025
James Kim,Female,FK85Wd07,dustinfrank@williams.com,(307)741-2891x54645,ME,6.42,Amazon,26.85,2025
Sean Hanson,Other,HK15WW11,gardnermichael@nunez.biz,(610)392-0107x10869,ECE,7.53,Wipro,19.6,2023
Antonio Robinson,Male,Ai50tp68,kylejames@gmail.com,938-089-6527,AE,7.84,Microsoft,15.28,2023
Danielle Phillips,Male,PH07oJ83,rebeccameyers@turner.net,(397)793-4836x5938,EEE,5.81,Paytm,14.88,2023
William Jones,Other,ii47tY16,jorge52@hotmail.com,+1-043-220-3622x86412,CE,9.49,TCS,30.47,2025
Eric Hamilton,Male,nj51hs49,jessica07@berg.com,134.543.1599x8846,ECE,9.68,Reliance,37.45,2023
Danielle Fischer,Other,QY52hh25,grahamrichard@watkins-garcia.com,482-359-5004x187,BT,7.27,TCS,29.83,2025
Rachel Rogers,Male,yp63pJ65,sarahandrews@smith-duncan.biz,001-324-328-0676x80774,ME,7.0,Paytm,37.21,2025
Mario Fischer,Other,Rn17gl31,jacob59@thomas.com,(595)401-7495x5660,CE,8.84,Paytm,27.25,2024
Casey White,Other,ds22Ze84,christinelowery@brown-martinez.com,066.876.5428,EEE,9.92,Adobe,19.71,2023
Nicholas Dunn,Other,Pl05id47,tiffany71@wilson-smith.com,492.899.6609x732,CE,7.77,Paytm,5.14,2024
Robert Swanson,Female,bD51lT47,kristin82@hotmail.com,001-897-253-6215x4037,CHE,5.51,Flipkart,31.95,2024
Christina Gibson,Female,AJ13tR61,jaredhill@hotmail.com,+1-744-183-1110x37450,IT,7.98,TCS,43.46,2025
Kimberly Hayes,Other,oN09lV08,manuelwallace@alvarez.com,8183225937,CHE,5.55,Infosys,43.63,2025
Cynthia Castillo,Other,UK43Bs76,julia54@gmail.com,870-578-9055x51465,CHE,7.74,Flipkart,22.33,2023
Amber Lawson,Female,WA57Ql36,joannacook@gmail.com,(465)375-6899x92324,AE,8.32,Paytm,36.15,2025
Wendy Taylor,Female,zZ33RH95,susan07@gmail.com,(853)505-8210,ECE,6.93,Paytm,18.31,2024
Mark Roberts,Male,yI40OB93,adyer@gregory.com,661-348-7558x8574,ME,8.0,Reliance,16.18,2023
Jennifer Jones,Male,gt90eB17,aprilhill@hotmail.com,644.249.3606,BT,9.89,Cisco,3.07,2024
Kevin Ayers,Female,my93rX83,idowns@yahoo.com,4755264024,EEE,9.01,Wipro,8.36,2024
Margaret Barajas,Male,lp93Kg86,jason63@wilson.org,130.446.6619x57005,CSE,5.41,Microsoft,34.88,2025
Tyler Lee,Male,Px85As44,devin53@hardy.com,(704)045-3876,IT,6.2,Adobe,35.82,2025
Daniel Knight,Other,Ld30jc48,cheryl01@hotmail.com,(687)091-9103,CSE,9.27,Zomato,34.18,2025
Scott Chapman,Female,Nf51bY70,twarren@moon-castillo.biz,+1-422-470-3583,ECE,5.43,Zomato,33.52,2023
Carrie Garcia,Other,hU14rf47,elizabeth58@hotmail.com,080-559-2050x5505,CE,6.67,Infosys,33.98,2023
Sarah Vasquez,Female,AF90yP89,brookslori@martinez-massey.org,+1-114-876-6025x8699,ECE,5.54,TCS,13.74,2024
Eric Williams,Other,Hg55Sz70,sthomas@yahoo.com,(384)442-2002x0345,AE,7.88,Wipro,39.8,2024
Danny Case,Female,QC03ML42,matthew24@hotmail.com,+1-523-766-6217,AE,6.22,Cisco,19.84,2023
Heidi Chavez,Other,qC02wJ81,david07@hotmail.com,(532)432-8954,CHE,7.78,Zomato,33.11,2025
Adam Lopez,Other,eK53eq90,alexandracollins@blake-jones.biz,028-299-6466x488,CHE,8.0,Zomato,19.83,2024
Angel Brown,Male,ld14UT11,vjones@graves.com,(425)705-4713,IT,5.73,Cisco,35.19,2025
Thomas Garcia,Other,cN19HY34,heathderrick@howell.com,001-750-303-7568x6096,BT,8.94,TCS,32.25,2025
Matthew Anderson,Female,aJ58iR02,joshua83@torres-baldwin.com,001-568-077-7400x95546,ECE,8.64,Infosys,25.88,2023
Mark Harris,Other,xn11SY09,benderamanda@gmail.com,001-904-375-3136x9698,ECE,9.9,Google,13.06,2025
Tyler Nguyen,Female,rv48lb09,nstephens@hotmail.com,+1-900-853-8024,CSE,7.21,Google,15.08,2024
Lawrence Smith,Other,Mr62rk12,pcarson@cherry-bond.com,(294)764-8687x31473,ME,7.26,Cisco,25.33,2024
Jessica Ward,Male,tU21TP17,bakermarcus@gmail.com,+1-224-793-6767,ECE,9.82,Paytm,36.63,2025
Kim Snyder PhD,Female,ma19Es25,rjohnson@yahoo.com,8300552741,BT,7.15,Adobe,10.89,2025
Duane Gonzalez,Other,Vb55Xk73,kleonard@giles.com,361-736-9545,CHE,5.58,Microsoft,21.98,2024
Angela Collier,Male,iF23aN37,monicamorales@gmail.com,4895512847,ECE,8.4,Flipkart,14.79,2023
Natalie Castillo,Male,DT70Ve95,wagnermary@jones.biz,+1-154-111-3896,BT,6.39,Cisco,8.88,2024
Brandon Davis,Female,UK89Bf88,jamie94@yahoo.com,001-965-852-3281x8651,CSE,6.7,Infosys,8.3,2023
Lauren Smith,Female,BX91kw37,amy37@smith.com,736-094-5447,ECE,7.24,Flipkart,36.36,2025
Lauren Hunt,Male,rk87kO58,heather25@gmail.com,+1-633-535-3131x3014,EEE,5.7,Flipkart,42.43,2025
Dawn Hester,Female,QL16wE32,holly12@fitzgerald-buchanan.biz,+1-429-012-0847,ECE,5.43,Amazon,39.11,2024
James Cooper,Male,yr37aR13,abbottdavid@richardson.com,+1-306-524-0270x29854,CHE,5.5,Zomato,7.27,2023
Billy Burgess,Other,Gb70SX49,xmorris@haynes-thompson.com,+1-867-069-2041x497,AE,9.7,Zomato,18.51,2023
Matthew Hood,Other,di77jW10,tracy97@hotmail.com,(290)003-2517x0365,CHE,6.7,Amazon,6.8,2024
Janet Brown,Female,OR97vj68,jamestodd@anderson-clayton.info,3220188325,IT,5.65,Amazon,8.2,2023
Brenda Conrad,Male,At03tU42,popechase@payne-frazier.com,635.841.4629,ME,7.96,Flipkart,7.65,2024
Holly Barrett,Female,Ib44Zz89,xsmith@morrow.net,001-923-942-1562x78600,EEE,8.99,Google,34.26,2023
Theodore Simmons,Female,XY23OD93,daniel00@diaz.org,087.490.1119x5718,EEE,9.76,Adobe,3.48,2023
Charles Dixon,Male,Ia39CC29,carolinesmith@watts.biz,346-789-7204x29932,ECE,8.46,Zomato,44.51,2025
Carrie Brown,Other,he07ip08,jdean@gmail.com,+1-889-868-3661x80287,EEE,9.8,Wipro,37.87,2023
Jasmin Nielsen,Female,nt19ou65,christina59@hotmail.com,989.974.6986x665,CSE,5.64,Infosys,13.3,2023
Casey Buchanan,Male,QS79Co56,trevorkennedy@hotmail.com,+1-213-279-9380x2225,CSE,7.79,Adobe,44.48,2025
Denise Brady,Male,Cw06ON34,theresahughes@duncan.com,(563)417-7716x5995,ECE,6.18,Flipkart,35.39,2023
Julie Reyes,Male,oV28TG36,hcameron@horton.org,(472)564-5369x814,AE,6.51,Google,37.15,2023
Amy Greene,Male,HH13Cx26,amymccullough@yahoo.com,079-257-9911,EEE,7.81,Adobe,15.14,2024
Kathryn Watts,Male,ZI82Ap66,wendyhall@schroeder.net,+1-081-016-5498x5122,CSE,9.91,Amazon,11.93,2025
Cody Rhodes,Female,jy27vV65,kylekhan@barnett.info,7139243613,EEE,8.03,Cisco,20.15,2025
Richard Garrett,Female,aW02oH93,fstevens@hill-gilbert.com,(261)559-1143,IT,8.95,Paytm,41.58,2023
Russell Davenport,Male,mo91xL34,rjohnson@gmail.com,174-948-0450x226,IT,7.84,Flipkart,3.33,2025
Katie Morales,Male,Qk31tt00,richardsonlarry@gmail.com,724.700.6096,IT,8.31,Flipkart,28.82,2023
Danielle Martin,Other,ia57pB26,jason25@gmail.com,146.954.9843x29178,EEE,9.5,Cisco,13.16,2024
Eileen Kline,Female,aa28Ug95,catherine23@wallace.com,794.429.5857x298,EEE,5.99,Google,36.74,2023
Caleb Bryant,Other,RZ59ex88,amber84@carrillo.com,365-642-8116x04281,EEE,8.53,Amazon,17.03,2024
Charles Simpson,Other,au01dT79,samanthashaw@huber.com,(062)436-2554x04454,BT,9.65,Cisco,42.75,2024
Catherine Bishop,Female,gm64tZ55,kdavis@ward.com,(631)177-8776x24096,CSE,7.58,Infosys,29.53,2024
Andrew Cox,Female,ZO36IL85,amandaallen@yahoo.com,+1-047-213-0766x693,ECE,9.81,TCS,4.78,2024
Betty Strickland,Female,Gn48WT92,elizabeth60@hotmail.com,(802)874-3892x67734,CSE,9.99,Google,6.62,2023
Anthony Graham,Female,hZ05KY97,kimberly08@hartman.com,(512)319-5067x38560,EEE,5.96,Flipkart,20.99,2025
James Garcia,Female,mZ48bT97,douglaspena@hotmail.com,602-594-2469,CE,8.55,Amazon,26.59,2023
Lauren Evans,Male,np73Fu70,petersonjoe@gmail.com,007-420-0169,CE,7.44,Cisco,29.53,2025
Russell Rios,Female,hj37Mb02,gonzalezandrea@sanchez.org,(295)784-6643,BT,5.77,Infosys,9.97,2023
Michael Harris,Female,aX50Ml55,crystalbrewer@berg.com,+1-856-658-2385x50947,ME,6.66,Wipro,29.36,2024
Eric Kelly,Male,IC89Ks01,james57@gmail.com,8266590383,IT,6.49,Reliance,5.64,2025
Robert Weber,Other,Ly65vl09,matthewbaker@hotmail.com,(652)333-9468,ME,8.46,Adobe,12.38,2025
Alan Parker,Male,NW05Zj68,nicholaslane@petty-peterson.net,301.374.7850x898,ECE,6.57,Reliance,5.1,2023
William Wright,Male,gQ60ZJ21,larrylowe@foster-guzman.info,001-832-416-5536x80288,CHE,8.58,Adobe,18.13,2023
Katherine Matthews,Male,Wh37lT56,jwells@harrison.com,181.353.7704,CE,5.71,Reliance,19.55,2023
Ian Paul,Female,cf76NO27,lisaknox@watts-glover.org,158-721-0979x88853,CE,8.14,Microsoft,29.8,2025
Mrs. Nancy Bailey,Other,Wa02Ti51,drogers@yahoo.com,335.282.6894x383,IT,7.05,Amazon,4.21,2025
Joe Johnson,Female,hB07ca43,lynchmargaret@sweeney.com,9232491596,CHE,9.32,Infosys,25.0,2024
Bill Bryan,Female,Yx44my11,kmahoney@gmail.com,001-264-385-3161,ECE,6.97,Wipro,4.67,2023
Christopher Alvarez,Male,pd27BH56,watsonshannon@hotmail.com,+1-200-042-4873x801,ECE,6.54,Infosys,15.88,2024
Gloria Vega,Other,Fo93MM29,wilsonethan@williams.com,399-993-8350x38280,CE,8.35,Microsoft,44.92,2025
Nancy Jones,Other,gP25SI72,williamwilliams@gmail.com,+1-353-707-6977x43158,EEE,5.63,Reliance,33.55,2025
Daniel Walter,Female,Qt02cx27,martinezelizabeth@hotmail.com,001-012-826-9830x68320,EEE,7.95,Google,13.62,2025
Garrett Fernandez,Other,nC29Gt76,nicoleolson@hotmail.com,7001922793,EEE,7.91,Flipkart,18.06,2025
Christina Fry,Female,ka33kG21,martinashley@williams.com,268-384-9227x84076,BT,9.78,Google,33.43,2024
Lee Clark,Male,qy38UI58,jlee@hotmail.com,001-874-930-7269x928,CHE,6.58,Microsoft,20.92,2024
Joanna Jackson,Other,LT33tR75,brittanysmith@green.com,534.861.6195x51115,ECE,7.82,Wipro,29.76,2025
Anthony Adkins,Other,Pf84lR54,hball@carter-wilkinson.com,(814)204-6603x913,AE,9.05,Google,42.8,2023
Lori Chavez,Male,Tz93hx49,douglas13@jones.com,000-192-8348,ME,8.91,Google,27.89,2025
Christopher Little,Female,RT48YG79,rweiss@yahoo.com,(540)167-1163x00594,CSE,6.58,TCS,37.31,2024
Kara Johnson,Other,xC01IT02,deborah07@yahoo.com,+1-814-427-1573x77095,ME,9.81,TCS,3.56,2025
Kenneth Martinez,Female,Ew29cj32,griffinmary@gmail.com,001-518-272-0848x688,ECE,5.58,Adobe,28.53,2023
Lisa Mcintyre,Male,pS37WG84,robinyang@flynn.net,395.212.2233,ECE,9.74,TCS,20.23,2024
Sarah Smith MD,Other,lG66xk39,marissa44@brady-jacobson.com,001-587-819-1885x15636,ME,6.74,Adobe,37.39,2024
Margaret Moore,Male,GJ25uJ95,mosesjohn@gmail.com,842-710-4487x9869,AE,6.31,Adobe,40.27,2024
Jamie Garcia,Male,Lg88bT12,becky51@hotmail.com,4525113417,BT,7.83,TCS,40.8,2024
Christopher Newton,Other,vp52sM34,norrisjulia@rangel.com,423.955.0427,IT,5.26,Infosys,25.76,2023
Katherine Dixon,Male,ym66MO85,dyoung@hill-miller.com,001-181-974-4455x443,ME,9.08,Microsoft,19.52,2025
Ashley Colon,Other,HV16CA16,qmitchell@ramirez.com,(965)210-1191x111,IT,7.92,Reliance,14.34,2024
Kelly Johnson,Male,ew88oA18,ecohen@hotmail.com,(435)857-5073x0711,BT,6.8,Google,13.84,2024
Corey Williams,Male,gk09IF99,sanfordjoseph@yahoo.com,001-179-268-9746x40685,CHE,8.09,TCS,34.54,2025
Ronald Ross,Other,or77Mj02,heatheranderson@hotmail.com,+1-143-522-6687,CE,7.41,Zomato,26.21,2023
George Allen DDS,Female,si76ot01,erincollins@yahoo.com,(016)334-0316,ECE,6.13,Reliance,43.61,2024
Mr. Leon Johnson MD,Other,rg42aH65,ogaines@yahoo.com,+1-021-358-3790x10605,ME,5.23,Amazon,8.27,2025
Patricia Thomas,Female,Ai22dx13,heathertucker@bennett.biz,073-850-6850x5124,CE,7.55,TCS,21.92,2025
Cassandra Anderson,Other,aT37DU82,wkemp@beck.net,301-308-2891x278,AE,5.58,Wipro,22.6,2024
Eric Fisher,Female,Gk34ql74,emily15@gmail.com,906.146.3803x3315,EEE,5.76,Infosys,5.25,2025
Debra Hoffman,Other,et90oO47,juliewu@knight.org,+1-144-039-8113x04989,IT,7.0,Microsoft,30.09,2024
Catherine Evans,Male,FI34DP92,cshea@gmail.com,8489048137,CSE,9.67,Cisco,30.56,2023
Rebecca Bailey,Female,rf38RI16,seanross@hamilton-taylor.com,(019)429-1386,ECE,7.91,Microsoft,10.89,2024
Paul Smith,Other,OU62gB32,mark59@hernandez.com,074.898.1817x8355,AE,6.34,Wipro,44.12,2025
Erica Vasquez MD,Other,Aa18og92,joshua09@ramirez.org,+1-584-108-6735,EEE,5.39,Cisco,9.94,2024
Pamela Hunter,Female,DM00Qz20,rstewart@gmail.com,+1-045-283-1873x5994,AE,5.9,Wipro,39.23,2024
Laura Irwin,Female,MR38Zy26,montgomeryscott@mcguire.com,055-708-4346x69137,BT,8.98,Microsoft,33.28,2023
Thomas Schmitt,Other,Iv19gm88,colleenreyes@peters.net,094-633-7893x81376,ECE,7.88,Google,28.4,2023
Peggy Lopez,Female,LF85gC18,umacias@hotmail.com,687.359.9068x1014,IT,7.11,Amazon,13.54,2023
Brandy Houston,Female,Ys66YO52,kathryn91@johnson-kelly.com,026-792-3208x97071,CE,8.47,Flipkart,13.05,2023
Lauren Molina,Female,gL91Wb80,ryanstark@gmail.com,529.576.4426x839,AE,5.06,Microsoft,6.55,2024
Troy Smith,Male,bD96ox41,fhopkins@yahoo.com,(064)373-0060x976,CHE,8.4,Reliance,33.13,2023
Andrew Love,Female,yl08Ee67,william85@morgan.com,640.194.4122x3817,CSE,9.24,Amazon,19.21,2023
Kristin Miller,Male,jw87HL87,vle@hotmail.com,(631)420-1033x69676,CE,6.1,TCS,10.98,2023
Lauren Bowman,Other,FK49fm23,lynndavis@yahoo.com,001-114-260-1068x981,ME,5.02,Amazon,32.1,2023
William Stewart,Male,YD73En72,dtorres@jones.com,(442)719-7302x05475,CHE,5.54,Reliance,14.16,2023
Phillip Cuevas,Female,KM50tV67,donnarobbins@yahoo.com,+1-950-773-1881x290,AE,9.99,Reliance,18.81,2024
Alvin Ellis,Other,SW62rd05,tmartinez@hall.com,4500113151,BT,5.44,Adobe,17.43,2025
Monique Simmons,Female,QE02Xu20,theresapruitt@ortiz.info,(864)021-9833,BT,5.71,Paytm,31.4,2024
Kathleen Scott,Male,ub83cF39,david12@johnson.com,609-462-0292x38651,CSE,5.01,Flipkart,9.92,2023
Michelle Rowe,Female,kk04fb73,nnelson@yahoo.com,931-092-3862,ME,7.89,Adobe,12.93,2023
Jesse Roy,Female,Sr78If25,lhoward@anderson.com,(838)670-1922,CHE,7.85,Reliance,25.0,2025
Marcus Nicholson,Other,FQ13Te02,wglenn@jones.com,001-891-155-3998x22660,AE,9.13,Wipro,19.02,2025
Abigail Gillespie,Female,uK86XQ37,kcordova@yahoo.com,+1-320-609-9433x977,IT,5.3,Flipkart,35.96,2024
Lisa Conrad,Other,xa46hV51,andrew17@bradley.com,001-387-911-9736x9807,AE,5.1,Zomato,4.57,2025
Dr. Wendy Smith,Other,Eh18Py10,oherman@gmail.com,(795)378-0320,AE,7.7,Infosys,22.13,2025
Adam Curtis,Female,Jd00MK73,kristilowe@little.com,001-211-548-8661x7946,AE,9.84,Wipro,14.33,2023
Wendy Smith MD,Male,aJ84Uo58,russolindsey@gmail.com,9054197859,CHE,8.2,Reliance,9.08,2024
Jennifer Johnson,Male,lX76wx74,lrosario@fernandez.com,+1-874-121-0040x031,CE,6.63,Amazon,34.95,2025
Dr. Jean Avila,Female,ju52XO31,penningtonelizabeth@yahoo.com,453-115-1524x01055,CHE,6.9,Cisco,12.22,2024
Eddie Ramirez,Male,nd56fh34,beckerdebbie@hotmail.com,+1-034-320-5073x4964,IT,9.95,Microsoft,12.09,2024
Ronald Morris,Other,yO75ap42,emack@bond.com,(236)565-6492x756,BT,8.24,Adobe,33.0,2023
John Meadows,Male,Ug34kS25,jonesfrank@white.com,347.988.7089x951,EEE,9.08,Adobe,34.49,2024
Elizabeth Morgan,Other,fn23Ga76,tinaforbes@hotmail.com,620.710.5858x281,ECE,5.09,Amazon,12.37,2023
Kenneth Waller,Male,PR01HL54,sherry05@yahoo.com,014.980.2917x6066,CE,7.25,Reliance,44.87,2025
Jacqueline Williams,Other,az88rC94,woodjohn@yahoo.com,001-132-857-7038,CHE,8.74,Microsoft,12.81,2025
Taylor Perry,Male,la35cW90,matthew54@yahoo.com,(406)918-0934x442,CHE,8.78,Google,10.09,2023
Seth Thompson,Other,eh64lC92,smithjeff@turner.com,+1-660-163-0290x433,ME,9.28,Infosys,13.48,2025
Brandon Brown,Female,sU14KT80,meaganbishop@fitzgerald-gonzales.info,2623733790,CHE,7.21,Adobe,18.84,2024
Jeremy Davis,Other,Ej38fp05,lewisjessica@gmail.com,(488)183-4499x12160,EEE,8.88,Reliance,40.61,2024
Brittany Lopez,Female,ef60Yf79,ronaldperez@yahoo.com,769.496.0484x94505,EEE,5.55,Cisco,13.85,2023
Anna Barton,Other,AG40Si29,aaronshelton@johnson-garcia.com,(425)698-1650x39793,AE,5.6,Google,39.06,2025
Paul Marshall,Female,jF42oA53,mayerjeffrey@hernandez.com,1137383363,ME,5.24,Flipkart,17.81,2024
Joshua Howard,Male,mw95kK01,kjohnson@gonzalez.biz,(810)680-8373x694,AE,9.56,Google,42.83,2023
Dr. Stephanie Velasquez,Female,PK76Sw67,marshalljeffrey@hotmail.com,297.585.8717x99330,CSE,6.91,Infosys,6.82,2025
Kimberly Frost,Other,Xl53BS75,jamesfrank@clark.com,001-050-744-1721x2673,ECE,9.07,Adobe,31.9,2023
Janice Silva,Male,kz07Sv94,anne30@alvarez.com,001-506-200-7184,BT,9.94,Infosys,31.01,2023
Randall Wilson,Female,ec69df53,dmccullough@lewis.com,(900)071-4686x3222,IT,6.98,Reliance,17.43,2024
Ryan Bell,Other,xP85Ha78,spotter@dunn-greene.info,+1-668-060-6022x88840,CE,6.42,TCS,27.05,2023
Dennis Nelson,Other,mo00Ri75,davidlang@yahoo.com,+1-119-686-4361x073,EEE,6.2,Google,8.81,2023
Benjamin Fuller,Male,Mo17jc14,rkeller@yahoo.com,001-311-428-3541,IT,8.28,Amazon,3.86,2023
Billy Hill,Other,em31Ti37,melodyjohns@yahoo.com,001-633-121-6121x80560,ECE,9.7,Google,15.33,2023
Robert Gonzales,Male,DZ07fe94,randywilliams@clark-williams.info,(548)658-7817x4479,EEE,5.29,Flipkart,30.3,2024
Michael Lynch,Other,ce72cm74,dwalker@frederick-mcintyre.info,(634)761-7424x46652,ECE,8.17,Reliance,21.76,2025
Tanya Dunn,Other,IH22cu17,stanleybarbara@avery.com,+1-384-633-9429x63268,AE,8.42,Zomato,37.54,2024
David Jenkins,Male,Kj64HG28,bmerritt@gmail.com,420-706-0419x322,BT,5.86,Flipkart,14.89,2025
Crystal Walker,Other,Dr85AO96,joseph11@yahoo.com,943.228.2319x04333,ECE,8.3,Reliance,20.54,2023
Adam Cooper,Male,jo27mY22,tammy04@gmail.com,+1-444-537-9568x59020,IT,6.99,Zomato,20.89,2025
Jose Leon,Female,oU22wk07,jenniferdowns@martinez.com,+1-679-975-8876,CE,9.45,Amazon,8.46,2025
Jerome Stevens,Female,Xx24Me66,petersenmiranda@hotmail.com,001-532-986-9438x33377,CSE,7.41,Cisco,29.63,2023
Michele Cole,Male,Hw57UE79,florestristan@yahoo.com,001-326-770-2810x24431,EEE,8.53,Wipro,16.95,2024
Jacqueline Willis,Male,MB04ea75,bmontoya@yahoo.com,001-771-167-1315x020,ECE,5.45,Wipro,26.05,2024
Roy Hoffman,Male,Go67BM32,leonardbanks@yahoo.com,3366639965,EEE,6.65,TCS,35.11,2023
Timothy Edwards,Other,Pz12dS23,faith34@hawkins.info,9095238572,ME,6.67,Wipro,6.68,2025
Meghan Edwards,Other,kn05Ce81,sally18@yahoo.com,465-819-6958x1569,CSE,9.22,Infosys,40.18,2025
Richard Morgan,Female,LH82OL85,dawnrodriguez@hotmail.com,627.768.1844x67610,IT,6.55,Paytm,5.9,2023
Daniel Jones,Other,od99vE83,callen@nguyen.com,405-391-3552,AE,9.2,Flipkart,43.32,2024
Daniel Martinez Jr.,Male,Sy00AL26,colemandavid@johnson.biz,(784)444-5853x626,ME,7.7,Google,15.12,2023
Tony Nguyen,Other,kk35TM42,bcobb@hotmail.com,5606413498,BT,6.9,Reliance,43.29,2024
Jessica Sampson,Other,Vk55Mt95,kirbybrian@allen-dennis.org,+1-929-461-2344,ME,9.5,Infosys,16.14,2025
Kayla Carson,Male,ti00MQ66,gballard@robinson.com,121-347-1554,BT,9.86,Zomato,41.5,2025
Alisha Morton,Male,Nn95nf03,dalepowell@bonilla.org,153.902.7068,EEE,9.67,Google,44.32,2023
Shannon Miller,Female,dM26QF61,jamesmcgee@huynh.com,714.923.1630x4333,ECE,8.5,Infosys,17.95,2023
Katelyn Hood,Female,CS12bi20,arthurweaver@davis.com,+1-649-233-8223x619,CHE,5.16,Zomato,27.99,2023
Morgan Bell,Male,Zv17OD40,psmith@yahoo.com,(754)911-7452,CHE,9.96,Adobe,17.99,2023
Amanda Henry,Other,Er65wr12,michael69@frazier.biz,314.515.1907x1593,CSE,9.44,Amazon,15.33,2024
